Author_ID|Author_name|Comment_number|Sentence_number|Domain_Relevance|Sentiment|Entity|Attribute|Sentence|Source_file|Annotator
"Joshua-Engel|Joshua Engel|416|1|0|nan|nan|nan|""Well"," the name """"organic"""""," for one.""|quora.json|fahad"
Joshua-Engel|Joshua Engel|416|2|9|n|c|g|The organic rules were designed by large agribusinesses, imposing overhead requirements that small farmers find it hard to meet.|quora.json|fahad
Joshua-Engel|Joshua Engel|416|3|9|n|c|q|And conversely, they allow processes that the founders of the organic movement find abhorrent: overcrowding, monoculture, poor nutrition safety created by extreme isolation rather than by care for the animals.|quora.json|fahad
"Joshua-Engel|Joshua Engel|416|4|0|nan|nan|nan|""And that's just in the term """"organic"""".""|quora.json|fahad"
Joshua-Engel|Joshua Engel|416|5|9|n|cf|c|Among conventional farmers, animals are subjected to abusive treatments, even worse diets, antibiotics, hormones; plants are genetically modified and sprayed with toxic chemicals.|quora.json|fahad
Joshua-Engel|Joshua Engel|416|5|9|n|gg|g|Among conventional farmers, animals are subjected to abusive treatments, even worse diets, antibiotics, hormones; plants are genetically modified and sprayed with toxic chemicals.|quora.json|fahad
Joshua-Engel|Joshua Engel|416|6|9|n|f|g|And these processes are in fact subsidized, even for extremely wealthy agribusinesses, so that farmers wanting to practice more responsible farming (both for health and the environment) have their prices undercut by government support, as if the government were trying to drive the out of business.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|1|9|0|p|l|Suggest finding a local grower/farmer who will sell you their organic fruit and vegetables - and hopefully their grass-fed, free-range meat and poultry too.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|2|0|nan|nan|nan|Or they can recommend someone who can.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|3|9|p|f|p|Your local grower is likely to have less mark up on their organic goods than the big stores and they will probably provide delivery as well, which is saving you even more money.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|3|9|0|f|l|Your local grower is likely to have less mark up on their organic goods than the big stores and they will probably provide delivery as well, which is saving you even more money.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|4|0|nan|nan|nan|I agree with Sarah's comment, stay away from packaged food if you can, it has overheads attached and so the price goes up.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|5|0|nan|nan|nan|And planning is key, especially when it comes to storage and figuring out how long you have to use the produce before it loses its freshness.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|6|9|0|p|g|You want to maximise the life of your organic stash.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|7|0|nan|nan|nan|Planning reduces wastage and helps your food purchase go further.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|8|0|nan|nan|nan|Also think about the old fashioned barter system.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|9|0|nan|nan|nan|Do you have a business that sells a product or service your local farmer may exchange for produce, e.g.|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|10|0|nan|nan|nan|hairdresser, accountant, clothing retailer?|quora.json|fahad
Rochelle-Foster|Rochelle Foster|421|11|0|nan|nan|nan|My sister is a hairdresser who exchanges haircuts for things like fresh eggs from her neighbour's hen house, home grown tomatoes and weekly house cleaning.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|1|0|nan|nan|nan|tl;dr: Absolutely on meat and eggs, possibly on dairy products, probably not on vegetables, and no way in hell on TV dinners.|quora.json|fahad
"Joshua-Engel|Joshua Engel|423|2|0|nan|nan|nan|""""""Organic"""" is", unfortunately," something of a misnomer at this point.""|quora.json|fahad"
"Joshua-Engel|Joshua Engel|423|3|9|n|c|ll|""The federal rules for """"organic"""" allow all sorts of dubious behavior"," while prohibiting the use of """"organic"""" labels on foods that are actually better and more nutritious because they can't comply with rules designed for vast agribusinesses.""|quora.json|fahad"
Joshua-Engel|Joshua Engel|423|4|9|0|p|q|An organic vegetable is largely indistinguishable from a conventionally-grown one.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|5|9|0|p|g|It's still grown in vast monocultures, far away from where you live, in varieties designed to ship well and look like a Platonic ideal of the vegetable.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|6|9|0|p|c|They are still subjected to pesticides and fertilizers.|quora.json|fahad
"Joshua-Engel|Joshua Engel|423|7|0|nan|nan|nan|""The """"natural"""" nature of the fertilizers may give them a faint chance of being more tasty than those grown with chemical fertilizers (which are reductionist and may deprive plants of some things they need to develop full flavor)"," but I suspect few people can spot the difference.""|quora.json|fahad"
Joshua-Engel|Joshua Engel|423|8|0|nan|nan|nan|However, many people prefer them for non-taste reasons.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|9|9|n|p|c|The pesticides they're subjected to are less effective, so they need to use more rotation and other techniques to avoid predators.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|10|9|p|f|s|This dumps less dangerous pesticides into the environment and may be safer for workers.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|11|0|nan|nan|nan|If you want better flavor, however, you pick vegetable varieties grown to taste good rather than to ship.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|12|0|nan|nan|nan|That usually means eating locally, which implies seasonally.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|13|9|0|cf|c|It's also unlikely to be organic, since that would forbid ever using any chemical fertilizers or pesticides, leaving land fallow for years that local farmers can't afford.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|14|9|p|cp|q|But it's going to be tastier, and probably healthier despite the occasional use of chemical pesticides (if done judiciously).|quora.json|fahad
Joshua-Engel|Joshua Engel|423|15|0|nan|nan|nan|The differences with animal products are more noticeable.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|16|9|0|cf|g|Animals packed in conventionally have to be given huge amounts of antibiotics to keep them from dying.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|17|9|n|cf|q|These crowded conditions yield bland meat and eggs, and are an ethical nightmare.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|18|0|nan|nan|nan|They have to be fed a slightly more diverse range of foods to keep them healthy.|quora.json|fahad
"Joshua-Engel|Joshua Engel|423|19|0|nan|nan|nan|""But the food is still limited in variety"," and the difference between the """"organically"""" grown mass-produced grain and conventional is probably undetectable.""|quora.json|fahad"
Joshua-Engel|Joshua Engel|423|20|0|nan|nan|nan|You will notice the difference with eggs, absolutely.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|21|9|p|p|t|The meat will be slightly more flavorful.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|22|9|0|f|g|It should be noticeable in milk, but organic milk is generally subjected to a different pasteurization process.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|23|9|0|f|t|The difference in processes will make a more noticeable flavor change than the underlying product.|quora.json|fahad
Joshua-Engel|Joshua Engel|423|24|0|nan|nan|nan|The more processed the food is, the less the difference matters because it's been so thoroughly modified from its original state.|quora.json|fahad
"Joshua-Engel|Joshua Engel|423|25|9|n|g|t|""An organic TV dinner tastes of """"processed"""" rather than """"organic"""".""|quora.json|fahad"
"Joshua-Engel|Joshua Engel|423|25|0|nan|nan|nan|""An organic TV dinner tastes of """"processed"""" rather than """"organic"""".""|quora.json|fahad"
Joshua-Engel|Joshua Engel|423|26|0|nan|nan|nan|As before, cooking it yourself (or having it cooked fresh) will make a bigger difference.|quora.json|fahad
Stephen-R-Morse|Stephen R Morse|425|1|9|0|p|t|Yes, organic food tastes the way the earth intended it.|quora.json|fahad
Stephen-R-Morse|Stephen R Morse|425|2|9|p|g|g|In which case, it is natural, and better for you on all levels.|quora.json|fahad
Stephen-R-Morse|Stephen R Morse|425|3|9|p|p|t|The taste of organic fruits and vegetables s the most natural thing you can taste.|quora.json|fahad
"Ravi-Nagori-1|Ravi Nagori|432|1|0|nan|nan|nan|""The question reminds me of another question """"Why do we have a double blind trial in science"""".""|quora.json|fahad"
Ravi-Nagori-1|Ravi Nagori|432|2|0|nan|nan|nan|Lets apply that logic here.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|3|0|nan|nan|nan|Scenario 1: Take identical looking organic fruit(say apple) and non-organic fruit.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|4|0|nan|nan|nan|Remove their labels and put them on a table.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|5|0|nan|nan|nan|Ask people to taste it.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|6|0|nan|nan|nan|See how many people rate organic apple as better tasting.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|7|0|nan|nan|nan|Scenario 2 : Again take identical looking organic and non-organic fruit(apple again!)|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|8|0|nan|nan|nan|and this time switch their labels.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|9|0|nan|nan|nan|Ask people to taste it.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|10|0|nan|nan|nan|See how many people rate the 'organically labelled' apple ( which is non-organic actually) better tasting.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|11|0|nan|nan|nan|Scenario 3 : Repeat scenario 1 but this time ask people if they can identify the organic fruit.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|12|0|nan|nan|nan|Look for correct response.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|13|0|nan|nan|nan|Expected Result: If 9 out of 10 can correctly give any identification of better taste of organic food, we have a winner.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|14|0|nan|nan|nan|Else it's just another MYTH.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|15|0|nan|nan|nan|So now the question is have such studies been done?|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|16|0|nan|nan|nan|Not with organic food, but switching labels studies have been done with wine, soda etc extensively.|quora.json|fahad
Ravi-Nagori-1|Ravi Nagori|432|17|9|n|p|t|Ref: 'You Are Not So Smart': Why We Can't Tell Good Wine From Bad In short: There is no evidence that organic food tastes better than non-organic ones.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|1|0|nan|nan|nan|It makes much more of a difference how the food was grown.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|2|9|n|f|ll|There are ranches that produce grass-fed beef but don't go through the rigorous requirements to get the organic label.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|3|9|0|f|t|That's going to produce a bigger taste difference from typical supermarket beef than organic beef that's been finished (fattened) on organic corn.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|4|0|nan|nan|nan|Similar deal goes for milk.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|5|0|nan|nan|nan|Almost no milk intended for drinking, organic or otherwise, uses rBGH.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|6|0|nan|nan|nan|So the difference is the use of medication and organic feed.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|7|0|nan|nan|nan|Most organic milk comes from cows primarily eating organic grains.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|8|9|0|p|t|That's going to taste much the same as regular supermarket milk.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|9|0|nan|nan|nan|But milk from grass-fed cows, whether organic or not, will taste dramatically different.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|10|0|nan|nan|nan|For vegetables, there isn't even a reason to expect any taste difference.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|11|0|nan|nan|nan|It'll make a much bigger difference buying locally from farmers' markets.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|12|9|n|f|p|And much of what you get at a farmers' market will be excellent but not organic, because compliance with the organic regime can be prohibitively expensive for a small farmer.|quora.json|fahad
"Jim-Seidman|Jim Seidman|434|13|0|nan|nan|nan|""""""Organic"""" has a very specific definition.""|quora.json|fahad"
Jim-Seidman|Jim Seidman|434|14|9|0|p|l|Some organic products happen to also be locally-grown, grass-fed, etc.|quora.json|fahad
Jim-Seidman|Jim Seidman|434|15|0|nan|nan|nan|But such things are hardly required, and the big organic producers actually run quite similarly to their conventional counterparts.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|439|1|0|nan|nan|nan|I usually avoid subjective questions but I will make an exception for this one.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|439|2|0|nan|nan|nan|It is important to distinguish officially accredited Organic produce, a label that is usually given only after on-site checks by external assessors sent by an official accrediting body which reviewed the brand.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|439|3|9|n|p|ll|Some food products are spuriously labelled, 'organic' which is according to someone's opinion could be just home-grown in a kitchen garden or by someone who does not use pesticides on the actual food itself but use pesticides directly or indirectly in the garden or that their neighbours do.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|439|4|9|p|p|t|Yes, organic produce do taste better.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|439|5|0|nan|nan|nan|If you want to know why, read my comment below.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|1|9|p|p|t|In my opinion, organically grown food taste better if grown locally because it is fresher and full of nutrients.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|1|9|p|p|q|In my opinion, organically grown food taste better if grown locally because it is fresher and full of nutrients.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|2|0|nan|nan|nan|Soil, which has food produced from it on a large scale, is usually depleted of some minerals and vitamins.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|3|0|nan|nan|nan|This fact directly affect the taste for me.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|4|0|nan|nan|nan|Also, the appearance of food corresponds to the taste for me too, we eat with our eyes mayhaps.|quora.json|fahad
Josephine-Gibbs|Josephine Gibbs|440|5|0|nan|nan|nan|The less perfect it looks, the richer the favour.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|1|0|nan|nan|nan|I agree with Josephine.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|2|9|p|p|t|Locally sourced organically produced food tastes better.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|3|9|p|cf|c|The benefit of small local farms is that you can actually go to the farm and find out whether they use chemicals.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|4|0|nan|nan|nan|Along with seeing how the animals are treated.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|5|9|0|p|ll|Just because something is labeled organic doesn't automatically make it better especially if you choose to buy your food from big box stores like Walmart or the others.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|6|0|nan|nan|nan|They can not buy from small farms because they sell in such mass quantity that they have to buy from large corporate organic farms.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|7|0|nan|nan|nan|So if you are buying from them you won't notice a taste difference.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|8|0|nan|nan|nan|Even farmers markets can be deceiving.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|9|0|nan|nan|nan|People assume that every vendor there is a local farmer.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|10|0|nan|nan|nan|In a lot of cases you would be wrong.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|11|0|nan|nan|nan|At our local farmers markets there are vendors who purchase their produce from the same places that the huge supermarkets do and charge just underneath what the local organic farmers do.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|12|0|nan|nan|nan|So basically it is the same crap you can buy at the supermarket- no taste difference.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|13|0|nan|nan|nan|On the meat and dairy side consider how stress affects us.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|14|0|nan|nan|nan|Disease, health issues and the list goes on.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|15|0|nan|nan|nan|Now think about animals who are on a crappy diet of corn, (a cows digestive system can not digest corn), are crowded, mistreated, and miserable.|quora.json|fahad
"Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|16|0|nan|nan|nan|""You don't think that """"stress"""" transfers into the milk", eggs, meat," etc.?""|quora.json|fahad"
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|17|0|nan|nan|nan|That is before they even add the hormones and antibiotics.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|18|0|nan|nan|nan|My advice is to get to know the small local farmers in your area.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|19|0|nan|nan|nan|Know where your food is coming from.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|20|0|nan|nan|nan|It will cost a bit more and you will only be able to buy produce when it is in season, but that is the way we are supposed to eat.|quora.json|fahad
Jamie-Lynn-Morgan|Jamie Lynn Morgan|443|21|0|nan|nan|nan|Not this overproduced genetically modified under nutritious stuff they keep pushing on us.|quora.json|fahad
"Katy-Cavallero|Katy Cavallero|448|1|0|nan|nan|nan|""I'm not sure if organic taste better than non - organic"," but you can check this site for more information <URL>""""""|quora.json|fahad"
Matan-Shelomi|Matan Shelomi|449|1|0|nan|nan|nan|See my answer to this question: Are naturally-derived pesticides as harmful to one's health as synthetically-produced pesticides?|quora.json|fahad
"Matan-Shelomi|Matan Shelomi|449|2|9|0|p|s|""The summary is that """"organic"""" and """"synthetic"""" have nothing to do with safety.""|quora.json|fahad"
Matan-Shelomi|Matan Shelomi|449|3|0|nan|nan|nan|Each chemical must be evaluated separately.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|4|9|p|g|s|Also remember that synthetically derived versions of organic chemicals, since they are identical, are equally safe.|quora.json|fahad
"Matan-Shelomi|Matan Shelomi|449|5|0|nan|nan|nan|""Hence the lack of any meaning to the phrase """"no artificial flavors"," since the natural flavors aren't any safer or riskier.""|quora.json|fahad"
Matan-Shelomi|Matan Shelomi|449|6|0|nan|nan|nan|I give an example of Roundup, an herbicide that leaves no residue on plants (safe to eat) but can cause minor eye irritation.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|7|9|n|g|s|The organic alternative, Pharm Solutions Weed Pharm, is corrosive, can cause permanent eye damage, causes skin sensitization, and is FATAL if swallowed or absorbed through the skin… but also leaves no residue.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|8|0|nan|nan|nan|Both are equally harmless to the consumer!|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|9|0|nan|nan|nan|Again, each compound must be studied independently.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|10|0|nan|nan|nan|Fortunately, someone else has done that work for you.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|11|9|p|cp|s|In the US at least, any non-organic products used are thoroughly tested for safety.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|12|0|nan|nan|nan|If they caused problems for the consumer they wouldn't be legally sold.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|13|0|nan|nan|nan|So don't fret over pesticides, organic or otherwise, from a health standpoint.|quora.json|fahad
Matan-Shelomi|Matan Shelomi|449|14|0|nan|nan|nan|Focus on food poisoning instead.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|1|9|0|f|g|tl;dr: A rigid dichotomy between organic and conventional agriculture does not appear to be practical at this time.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|1|9|0|cf|g|tl;dr: A rigid dichotomy between organic and conventional agriculture does not appear to be practical at this time.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|2|0|nan|nan|nan|A middle path that focuses on convential methods, organic farming as well as low-input or eco-agriculture seems to be the most pragmatic approach at present.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|3|0|nan|nan|nan|A team of University of Michigan researchers ran two models to try and understand the changes in yield if we were to shift to a solely organic approach.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|4|0|nan|nan|nan|The first model applied the yield ratio from organic farming for the developed world to the entire planet and the second model applied was more nuanced approach and considered yield rations from both developed and developing nations.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|5|0|nan|nan|nan|[1] (They based these models on a global dataset of ratios that suggest that organic farming yields less than conventional approaches in the developed world while the opposite is true in the developing world i.e.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|6|0|nan|nan|nan|yields were boosted.)|quora.json|fahad
"Rahul-Shankar|Rahul Shankar|457|7|0|nan|nan|nan|""""""We were all surprised by what we found", said Catherine Badgley," a Michigan paleoecologist who was one of the lead researchers.""|quora.json|fahad"
"Rahul-Shankar|Rahul Shankar|457|8|0|nan|nan|nan|""The first model yielded 2","641 kilocalories (""""calories"""") per person per day", just under the world's current production of 2,786 calories but significantly higher than the average caloric requirement for a healthy person of between 2,200 and 2,"500.""|quora.json|fahad"
Rahul-Shankar|Rahul Shankar|457|9|0|nan|nan|nan|The second model yielded 4,381 calories per person per day, 75 percent greater than current availability-and a quantity that could theoretically sustain a much larger human population than is currently supported on the world's farmland.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|10|0|nan|nan|nan|This research when read independently appears extrenely heartening however there are some non-trivial challenges that exist if we want to sustain the earth's population solely with organic farming methods.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|11|0|nan|nan|nan|Sadly this has become a highly politicized issue.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|12|0|nan|nan|nan|There are fierce proponents of both sides and it difficult to guage what the correct answer is.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|13|0|nan|nan|nan|In reading about the subject I have come upon contrasting answers from seemingly strong and independent sources; for instance faculty at Harvard, Berkley and the University of Michigan among others.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|14|0|nan|nan|nan|I'll try to share some of popular arguments and counter-arguments here.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|15|9|n|cf|e|Environmental considerations - The excessive quantities of nitrogen fertilizers used in conventional farms in the United States has resulted in 'dead zones' in the Gulf of Mexico as well as of countries like India, Australia and Brazil.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|16|0|nan|nan|nan|[2] Stopping the use of fertilizers entirely however is probably not the answer.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|17|0|nan|nan|nan|Certified organic cropland was about 0.6% of the total U.S. cropland in 2008.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|18|0|nan|nan|nan|[3] If we were to attempt to switch the other 99+ percent to organic this would require a lot more organic fertiziler i.e.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|19|0|nan|nan|nan|This requires a large increase in cattle production and thus a corresponding increase in land for pasture.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|20|0|nan|nan|nan|The result would ostensibly be mass deforestation.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|21|0|nan|nan|nan|Not the answer we are looking for.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|22|9|0|f|e|This helps add some perspective to the assumption that organic farming is perfect for the environment.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|23|0|nan|nan|nan|There is of course a counter argument here.|quora.json|fahad
"Rahul-Shankar|Rahul Shankar|457|24|0|nan|nan|nan|""Certain researchers have argued that a distinction needs to be made between """"green manure and animal manure"""".""|quora.json|fahad"
Rahul-Shankar|Rahul Shankar|457|25|0|nan|nan|nan|Green manure implies the greater use of notrogen fixing crops and biologically available nitrogen sources like nitrogen fixing bacteria to make up for the dependance on animal manure.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|26|0|nan|nan|nan|Again, the two arguments are so disparate at present that it is difficult to see which one is true.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|27|0|nan|nan|nan|Challenges in the developing world - Most of our discussions of organic farming tend to focus on the United States and Europe.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|28|0|nan|nan|nan|Organic farming and locally grown produce is all the rage all over the United States however this does not always translate to the more impoverished parts of the world.|quora.json|fahad
Rahul-Shankar|Rahul Shankar|457|29|0|nan|nan|nan|Technical indicators like production, yield, income and prices need to studied to understand what the best approach to be followed is.|quora.json|fahad
